family,lat,lon,country,commodity
Li,-33.8667,116.0625,Australia,Greenbushes [Beryllium; Lithium; Niobium and Tantalum; Tin|Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal]
Li,38.5417,-106.6256,United States of America,Quartz Cr [Lithium|Pegmatite]
Li,40.5464,-105.3733,United States of America,Crystal Mountain [Lithium; Beryllium|Pegmatite]
Li,41.2531,-112.7051,United States of America,Great Salt Lake [Lithium|Li Basin Brines]
Li,41.5922,-72.5916,United States of America,Anderson [Lithium|Pegmatite]
Li,41.6347,-7.7838,Portugal,Covas de Barroso [Lithium|Pegmatite]
Li,41.8855,-118.1419,United States of America,Kings Valley [Lithium|Li-Clay]
Li,42.4195,-72.8726,United States of America,Clark [Lithium|Pegmatite]
Li,42.7512,10.205,Italy,Elba [Lithium|Pegmatite]
Li,42.768,-107.4421,United States of America,Black Mountain [Lithium|Pegmatite]
Li,43.1811,-72.2942,United States of America,Beryl Mountain [Lithium|Pegmatite]
Li,43.7514,-71.8896,United States of America,Palermo [Lithium; Beryllium|Be Type Rare-Metal Pegmatite]
Li,44.0092,-65.9967,Canada,Brazil Lake [Lithium|Pegmatite]
Li,44.113,-103.8134,United States of America,Black Hills [Beryllium; Lithium; Tellurium|Be Type Rare-Metal Pegmatite; Te in Epithermal Au-Ag]
Li,44.2692,-70.4733,United States of America,Mount Mica [Beryllium; Lithium|Pegmatite]
Li,45.8506,-88.3528,United States of America,Animikie [Lithium|Pegmatite]
Li,45.9792,1.3861,France,Chedeville [Lithium|Pegmatite]
Li,46.0042,8.7089,Italy,Brissago [Lithium|Pegmatite]
Li,46.1833,2.9333,France,Beauvoir-Echassieres [Niobium and Tantalum; Beryllium; Lithium|Rare-metal granite; Non-pegmatite; Li-Cs-Ta type pegmatite]
Li,46.8674,14.9316,Austria,Koralpe [Lithium|Pegmatite]
Li,47.1899,88.8126,China,Altai [Lithium|Pegmatite]
Li,48.4108,-77.8082,Canada,Lacorne [Lithium|Pegmatite]
Li,49.4208,16.0028,Czech Republic,Oldrich [Lithium|Pegmatite]
Li,49.8214,-92.6563,Canada,Mavis [Lithium|Pegmatite]
Li,49.8633,-92.5311,Canada,Gullwing Lake [Lithium|Pegmatite]
Li,50.25,-94.06,Canada,Big Whopper [Lithium|Pegmatite]
Li,50.344,-95.317,Canada,Greer [Lithium|Pegmatite]
Li,50.4218,12.7896,Czech Republic,Podlesi [Lithium|Pegmatite]
Li,50.4333,-95.45,Canada,Tanco [Niobium and Tantalum; Beryllium; Lithium|Be Type Rare-Metal Pegmatite; Li-Cs-Ta type pegmatite]
Li,50.6515,109.8798,Russia,Malkhan [Lithium|Pegmatite]
Li,50.7145,-4.0302,England,Meldon [Lithium; Beryllium|Pegmatite]
Li,50.8,-91.7,Canada,Root [Lithium|Pegmatite]
Li,51.0572,114.8342,Russia,Orlovka [Lithium|Pegmatite]
Li,51.6833,-75.8458,Canada,Whabouchi [Lithium|Pegmatite]
Li,52.5983,-93.3788,Canada,Favourable Lake [Lithium|Pegmatite]
Li,52.7853,-6.5374,Ireland,Leinster [Lithium|Pegmatite]
Li,57.5667,61.3167,Russia,Lipovy Log [Lithium|Pegmatite]
Li,58.1694,11.6789,Sweden,Borkenas-Orust [Lithium|Pegmatite]
Li,58.9667,18.3167,Sweden,Utö [Beryllium; Lithium|Pegmatite]
Li,62.2,-128.833,Canada,Little Nahanni [Lithium|Pegmatite]
Li,62.7794,22.8155,Finland,Seinajoki [Lithium|Pegmatite]
Li,63.4256,23.7061,Finland,Ullava (Länttä) [Lithium; Beryllium|Pegmatite]
Li,63.5083,22.9825,Finland,Haapaluoma [Lithium|Pegmatite]
