subtype,lat,lon
Cu_porphyry,50.5667,-121.0000
Cu_porphyry,50.4856,-121.0483
Cu_porphyry,49.2933,-120.7594
Cu_porphyry,53.7583,-127.2150
Cu_porphyry,49.8833,-117.3667
Cu_porphyry,46.0833,-60.3667
Cu_porphyry,49.8333,-91.0000
Cu_porphyry,47.0431,-84.6153
Cu_porphyry,48.5000,-81.2500
Cu_porphyry,47.9667,-80.7500
Cu_porphyry,47.0919,-84.4783
Cu_porphyry,49.8667,-74.2333
Cu_porphyry,48.2667,-79.0000
Cu_porphyry,48.9667,-65.5194
Cu_porphyry,62.4167,-137.6167
Cu_porphyry,62.7361,-138.8292
Cu_porphyry,62.3417,-136.6917
Cu_porphyry,-30.2500,-71.4167
Cu_porphyry,-24.3983,-69.6075
Cu_porphyry,-22.5333,-69.9167
Cu_porphyry,-23.1633,-69.1683
Cu_porphyry,-27.7833,-69.2333
Cu_porphyry,-20.0447,-69.2597
Cu_porphyry,-24.1333,-69.0833
Cu_porphyry,-22.2750,-68.9000
Cu_porphyry,-20.9631,-68.7083
Cu_porphyry,-21.9539,-68.7356
Cu_porphyry,-20.9017,-68.8853
Cu_porphyry,-18.2900,-69.7217
Cu_porphyry,-21.9206,-68.8325
Cu_porphyry,-21.1167,-68.7333
Cu_porphyry,-26.2542,-69.5506
Cu_porphyry,-22.9878,-69.0764
Cu_porphyry,-34.0886,-70.4625
Cu_porphyry,-24.2650,-69.0717
Cu_porphyry,-22.9667,-69.0583
Cu_porphyry,-23.4108,-68.8189
Cu_porphyry,-26.7661,-69.8714
Cu_porphyry,-28.6333,-69.8833
Cu_porphyry,-20.1750,-69.0833
Cu_porphyry,-22.6667,-68.7500
Cu_porphyry,-23.4450,-69.5117
Cu_porphyry,-33.1333,-70.2667
Cu_porphyry,-31.7083,-70.5000
Cu_porphyry,-22.5642,-69.2422
Cu_porphyry,-22.3806,-68.9125
Cu_porphyry,-19.8097,-69.2806
Cu_porphyry,-22.4667,-68.9667
Cu_porphyry,-23.3000,-69.2333
Cu_porphyry,-26.4875,-69.4239
Cu_porphyry,-21.9167,-69.8333
Cu_porphyry,-21.0000,-68.8000
Cu_porphyry,-19.8667,-68.9667
Cu_porphyry,-28.2167,-69.6000
Cu_porphyry,-28.5000,-70.3000
Cu_porphyry,-25.2167,-69.2333
Cu_porphyry,-22.8806,-69.3389
Cu_porphyry,-22.8394,-69.3028
Cu_porphyry,-18.5933,-69.4500
Cu_porphyry,-22.4167,-68.9500
Cu_porphyry,-46.0333,-72.1500
Cu_porphyry,-20.9928,-68.6372
Cu_porphyry,-32.8833,-70.2333
Cu_porphyry,32.0667,119.1000
Cu_porphyry,41.7167,112.5500
Cu_porphyry,26.1500,100.2000
Cu_porphyry,22.8000,103.0000
Cu_porphyry,29.6833,115.8333
Cu_porphyry,42.2000,92.9667
Cu_porphyry,29.5833,90.0000
Cu_porphyry,29.0189,117.7297
Cu_porphyry,29.3833,88.3833
Cu_porphyry,50.1667,125.6922
