family,cell_lat,cell_lon,score_pct,nearest_anchor_lat,nearest_anchor_lon,nearest_km
Au,68.0,-170.0,97.1,65.51,-167.63,296.0
Au,54.0,-136.0,97.1,55.09,-132.71,244.0
Au,26.0,-116.0,97.0,28.06,-113.39,345.0
Au,54.0,-108.0,97.0,55.68,-103.63,336.0
Au,62.0,-170.0,97.0,64.61,-165.8,358.0
Au,48.0,-100.0,97.0,44.34,-103.66,495.0
Au,34.0,-130.0,97.0,37.03,-122.11,789.0
Au,50.0,-132.0,96.9,49.98,-126.72,377.0
Au,32.0,-128.0,96.9,35.9,-121.41,746.0
Au,64.0,-172.0,96.9,65.5,-167.66,265.0
Au,44.0,-98.0,96.9,43.79,-103.56,446.0
Au,56.0,-122.0,96.9,57.0,-126.75,312.0
Cu,50.0,-110.0,99.2,49.2,-114.0,302.0
Cu,36.0,-124.0,99.2,37.18,-121.85,233.0
Cu,32.0,-120.0,99.2,34.2,-118.79,269.0
Cu,40.0,-126.0,99.1,40.19,-123.31,230.0
Cu,52.0,-114.0,99.0,51.63,-118.43,307.0
Cu,40.0,-102.0,99.0,39.45,-105.12,274.0
Cu,38.0,-126.0,99.0,39.07,-123.42,254.0
Cu,48.0,-106.0,99.0,46.75,-109.34,287.0
Cu,50.0,-108.0,99.0,46.75,-109.34,375.0
Cu,52.0,-112.0,98.9,49.2,-114.0,342.0
Cu,42.0,-102.0,98.9,42.33,-104.72,227.0
Cu,34.0,-124.0,98.8,35.42,-120.82,331.0
Cu,32.0,-122.0,98.8,34.2,-118.79,386.0
Cu,44.0,-128.0,98.7,42.82,-124.24,331.0
Cu,46.0,-128.0,98.7,45.26,-123.62,350.0
Cu,42.0,-128.0,98.7,42.82,-124.24,322.0
Cu,52.0,-110.0,98.7,49.2,-114.0,420.0
Cu,36.0,-126.0,98.6,37.97,-122.73,364.0
Cu,40.0,-128.0,98.5,41.82,-123.99,393.0
Cu,30.0,-120.0,98.5,31.97,-116.65,387.0
Cu,-28.0,-74.0,98.5,-28.69,-71.2,285.0
Cu,40.0,-100.0,98.4,37.45,-102.23,343.0
Cu,50.0,-106.0,98.4,46.75,-109.34,437.0
Cu,54.0,-120.0,98.4,52.52,-122.28,224.0
Cu,-30.0,-74.0,98.4,-30.36,-71.26,266.0
Cu,54.0,-118.0,98.4,51.63,-118.43,265.0
