depth_top_km,depth_bot_km,depth_mid_km,density_gcc,region,region_zh,shell_mass_kg,element,ppm_mass,shell_element_mass_kg
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ru,0.0008125,1185657055053.9675
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ar,2.84375,4149799692688886.5
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Na,22930.62681510165,3.3461980874012262e+19
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Sn,1.86875,2727011226624125.5
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Th,7.8,1.138230772851809e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Yb,2.6,3794102576172696.5
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ho,1.0562500000000001,1541354171570158.0
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Hf,2.4375,3556971165161903.0
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,K,17183.58837579618,2.5075498817115185e+19
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Pr,7.475,1.0908044906496502e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Pt,0.0040625,5928285275269.838
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ag,0.0609375,88924279129047.58
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Se,0.040625,59282852752698.38
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Br,1.95,2845576932129522.5
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ta,1.625,2371314110107935.0
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ne,0.0040625,5928285275269.838
