family,cell_lat,cell_lon,score_pct,nearest_anchor_lat,nearest_anchor_lon,nearest_km
Au_sed,44.0,-114.0,99.6,42.08,-113.04,227.0
Au_sed,36.0,-112.0,99.6,37.39,-113.88,228.0
Au_sed,36.0,106.0,99.6,34.54,104.21,230.0
Au_sed,44.0,-112.0,99.6,42.08,-113.04,230.0
Au_sed,28.0,114.0,99.6,29.92,114.88,230.0
Au_sed,42.0,-110.0,99.5,40.59,-112.13,237.0
Au_sed,40.0,-120.0,99.5,40.93,-117.5,235.0
Au_sed,42.0,-120.0,99.5,40.93,-117.5,240.0
Au_sed,28.0,116.0,99.5,29.92,114.88,239.0
Au_sed,34.0,112.0,99.5,33.33,109.5,243.0
Au_sed,22.0,104.0,99.5,23.6,105.61,242.0
Au_sed,36.0,-116.0,99.5,37.39,-113.88,244.0
Au_sed,32.0,114.0,99.5,29.92,114.88,246.0
Au_sed,2.0,108.0,99.5,1.41,110.15,248.0
Au_sed,28.0,106.0,99.5,25.92,105.02,251.0
Au_sed,28.0,104.0,99.5,25.92,105.02,253.0
Au_sed,32.0,116.0,99.5,29.92,114.88,255.0
Au_sed,30.0,104.0,99.4,32.28,104.26,255.0
Au_sed,0.0,112.0,99.4,1.41,110.15,259.0
Au_sed,36.0,50.0,99.4,36.72,47.14,268.0
Au_sed,30.0,112.0,99.4,29.92,114.88,278.0
Au_sed,32.0,112.0,99.4,33.33,109.5,277.0
Au_sed,0.0,108.0,99.4,1.41,110.15,286.0
Au_sed,44.0,-116.0,99.4,41.42,-115.98,287.0
Au_sed,4.0,110.0,99.4,1.41,110.15,288.0
Au_sed,38.0,50.0,99.4,36.72,47.14,290.0
Au_sed,36.0,100.0,99.4,34.08,102.17,291.0
Au_sed,24.0,102.0,99.4,24.43,104.83,290.0
Au_sed,28.0,110.0,99.4,26.22,107.8,294.0
Au_sed,36.0,44.0,99.4,36.72,47.14,292.0
Au_sed,38.0,-120.0,99.3,38.96,-116.85,294.0
Au_sed,22.0,112.0,99.3,22.62,109.18,298.0
Au_sed,36.0,110.0,99.3,33.33,109.5,300.0
Au_sed,30.0,118.0,99.3,29.92,114.88,301.0
Au_sed,26.0,102.0,99.3,25.38,104.93,302.0
Au_sed,20.0,110.0,99.3,22.62,109.18,304.0
Au_sed,30.0,106.0,99.3,32.28,104.26,303.0
Au_sed,32.0,100.0,99.3,34.08,102.17,307.0
Au_sed,38.0,44.0,99.3,36.72,47.14,312.0
Au_sed,0.0,122.0,99.3,0.89,124.67,312.0
Au_sed,34.0,48.0,99.3,36.72,47.14,312.0
Au_sed,44.0,-118.0,99.3,41.25,-117.17,314.0
Au_sed,38.0,-110.0,99.2,39.53,-113.01,311.0
Au_sed,20.0,108.0,99.2,22.62,109.18,317.0
Au_sed,34.0,46.0,99.2,36.72,47.14,320.0
Au_sed,2.0,122.0,99.2,0.89,124.67,321.0
Au_sed,44.0,-110.0,99.2,42.08,-113.04,327.0
Au_sed,24.0,112.0,99.2,22.62,109.18,326.0
Au_sed,36.0,108.0,99.2,33.33,109.5,326.0
Au_sed,-2.0,124.0,99.2,0.89,124.67,329.0
Au_sed,30.0,102.0,99.2,32.28,104.26,333.0
Au_sed,36.0,-118.0,99.2,38.96,-116.85,344.0
Au_sed,4.0,112.0,99.2,1.41,110.15,353.0
Au_sed,-2.0,126.0,99.2,0.89,124.67,354.0
Au_sed,4.0,124.0,99.2,0.89,124.67,354.0
Au_sed,28.0,112.0,99.1,29.92,114.88,352.0
Au_sed,40.0,-108.0,99.1,40.59,-112.13,357.0
Au_sed,40.0,48.0,99.1,36.72,47.14,372.0
Au_sed,36.0,112.0,99.1,33.33,109.5,375.0
Au_sed,28.0,118.0,99.1,29.92,114.88,371.0
Au_sed,4.0,108.0,99.1,1.41,110.15,374.0
Au_sed,30.0,110.0,99.1,33.33,109.5,374.0
Au_sed,32.0,118.0,99.1,29.92,114.88,377.0
Au_sed,42.0,-108.0,99.1,40.59,-112.13,379.0
Au_sed,28.0,102.0,99.1,25.92,105.02,378.0
Au_sed,4.0,126.0,99.1,0.89,124.67,376.0
Au_sed,34.0,-114.0,99.1,37.39,-113.88,377.0
Au_sed,40.0,46.0,99.0,36.72,47.14,378.0
Au_sed,44.0,-120.0,99.0,41.21,-117.25,383.0
Au_sed,-2.0,110.0,99.0,1.41,110.15,380.0
Au_sed,36.0,-110.0,99.0,37.39,-113.88,379.0
Au_sed,0.0,128.0,99.0,0.89,124.67,384.0
Au_sed,34.0,98.0,99.0,34.08,102.17,384.0
Au_sed,38.0,104.0,99.0,34.54,104.21,385.0
Au_sed,42.0,-122.0,99.0,40.93,-117.5,393.0
Au_sed,2.0,128.0,99.0,0.89,124.67,391.0
Au_sed,40.0,-122.0,99.0,40.93,-117.5,394.0
Au_sed,22.0,102.0,99.0,24.43,104.83,395.0
Au_sed,30.0,108.0,99.0,33.33,109.5,397.0
Au_sed,34.0,50.0,99.0,36.72,47.14,398.0
Au_sed,20.0,106.0,98.9,23.6,105.61,402.0
Au_sed,20.0,112.0,98.9,22.62,109.18,413.0
Au_sed,34.0,-112.0,98.9,37.39,-113.88,413.0
Au_sed,38.0,106.0,98.9,34.54,104.21,417.0
