family,cell_lat,cell_lon,score_pct,closest_subtype,closest_subtype_km
Cu,-42.0,-74.0,97.9,Cu_porphyry,418.0
Cu,-48.0,-74.0,97.9,Cu_porphyry,258.0
Cu,2.0,-78.0,97.9,Cu_porphyry,124.0
Cu,18.0,-94.0,97.9,Cu_porphyry,319.0
Cu,16.0,-60.0,97.9,Cu_porphyry,729.0
Cu,-10.0,160.0,97.8,Cu_porphyry,24.0
Cu,-48.0,-72.0,97.8,Cu_porphyry,219.0
Cu,18.0,-92.0,97.8,Cu_porphyry,300.0
Cu,58.0,160.0,97.8,Cu_porphyry,392.0
Cu,-4.0,154.0,97.7,Cu_porphyry,275.0
Cu,26.0,122.0,97.7,Cu_porphyry,290.0
Cu,-2.0,146.0,97.7,Cu_porphyry,98.0
Cu,54.0,162.0,97.7,Cu_porphyry,284.0
Cu,46.0,140.0,97.7,Cu_VMS,286.0
Cu,-6.0,144.0,97.7,Cu_porphyry,132.0
Cu,4.0,124.0,97.6,Cu_porphyry,288.0
Cu,42.0,16.0,97.6,Cu_sediment,371.0
Cu,56.0,-166.0,97.6,Cu_porphyry,334.0
Cu,42.0,144.0,97.6,Cu_VMS,250.0
Cu,20.0,-96.0,97.6,Cu_porphyry,59.0
Cu,38.0,26.0,97.5,Cu_porphyry,204.0
Cu,52.0,160.0,97.5,Cu_porphyry,278.0
Cu,38.0,28.0,97.5,Cu_porphyry,193.0
Cu,12.0,-60.0,97.5,Cu_VMS,564.0
Cu,-10.0,156.0,97.5,Cu_porphyry,270.0
Cu,16.0,-94.0,97.5,Cu_porphyry,194.0
Cu,58.0,158.0,97.5,Cu_porphyry,285.0
Cu,46.0,146.0,97.4,Cu_VMS,195.0
Cu,-40.0,-74.0,97.3,Cu_porphyry,300.0
Cu,50.0,-178.0,97.3,Cu_porphyry,1385.0
Cu,32.0,138.0,97.3,Cu_VMS,342.0
Cu,58.0,156.0,97.3,Cu_porphyry,191.0
Cu,56.0,-154.0,97.3,Cu_porphyry,279.0
Cu,-2.0,150.0,97.2,Cu_porphyry,226.0
Cu,16.0,-64.0,97.2,Cu_porphyry,359.0
Cu,-8.0,152.0,97.2,Cu_porphyry,280.0
Cu,38.0,14.0,97.2,Cu_porphyry,441.0
Cu,58.0,162.0,97.2,Cu_porphyry,485.0
Cu,46.0,-126.0,97.2,Cu_porphyry,305.0
Cu,18.0,-106.0,97.1,Cu_VMS,247.0
Cu,32.0,128.0,97.1,Cu_VMS,307.0
Cu,38.0,16.0,97.1,Cu_porphyry,602.0
Cu,18.0,124.0,97.1,Cu_porphyry,293.0
Cu,38.0,-126.0,97.1,Cu_VMS,425.0
Cu,12.0,-90.0,97.1,Cu_VMS,395.0
Cu,26.0,120.0,97.1,Cu_porphyry,320.0
Cu,56.0,154.0,97.0,Cu_porphyry,297.0
Cu,40.0,18.0,97.0,Cu_porphyry,426.0
Cu,44.0,148.0,97.0,Cu_VMS,171.0
Cu,-8.0,154.0,97.0,Cu_porphyry,249.0
Cu,20.0,120.0,97.0,Cu_VMS,194.0
Cu,56.0,-168.0,97.0,Cu_porphyry,457.0
Cu,30.0,130.0,97.0,Cu_VMS,309.0
Cu,32.0,140.0,96.9,Cu_VMS,391.0
Cu,-4.0,156.0,96.9,Cu_porphyry,263.0
Cu,54.0,-178.0,96.9,Cu_porphyry,1145.0
Cu,54.0,154.0,96.9,Cu_porphyry,221.0
Cu,52.0,154.0,96.9,Cu_porphyry,314.0
Cu,-38.0,-74.0,96.9,Cu_porphyry,300.0
Cu,46.0,148.0,96.9,Cu_VMS,254.0
Cu,0.0,-76.0,96.8,Cu_porphyry,156.0
Cu,4.0,-78.0,96.8,Cu_VMS,165.0
Cu,36.0,26.0,96.8,Cu_porphyry,413.0
Cu,36.0,28.0,96.8,Cu_porphyry,407.0
Cu,-2.0,-76.0,96.8,Cu_porphyry,325.0
Cu,-50.0,-74.0,96.7,Cu_porphyry,460.0
Cu,50.0,-180.0,96.7,Cu_porphyry,1514.0
Cu,-4.0,130.0,96.7,Cu_porphyry,216.0
Cu,34.0,142.0,96.6,Cu_VMS,319.0
Cu,-46.0,-76.0,96.6,Cu_porphyry,297.0
Cu,16.0,124.0,96.6,Cu_porphyry,238.0
Cu,26.0,124.0,96.6,Cu_porphyry,382.0
Cu,50.0,156.0,96.6,Cu_porphyry,446.0
Cu,30.0,132.0,96.6,Cu_VMS,290.0
Cu,22.0,-108.0,96.6,Cu_porphyry,248.0
Cu,38.0,136.0,96.6,Cu_VMS,300.0
Cu,2.0,126.0,96.5,Cu_porphyry,330.0
Cu,2.0,-80.0,96.5,Cu_porphyry,243.0
Cu,6.0,128.0,96.5,Cu_porphyry,252.0
Cu,56.0,164.0,96.5,Cu_porphyry,437.0
Cu,42.0,146.0,96.5,Cu_VMS,249.0
Cu,2.0,124.0,96.5,Cu_porphyry,186.0
Cu,36.0,24.0,96.4,Cu_porphyry,436.0
Cu,-50.0,-72.0,96.4,Cu_porphyry,397.0
Cu,50.0,-174.0,96.4,Cu_porphyry,1138.0
Cu,36.0,30.0,96.4,Cu_VMS,249.0
Cu,14.0,118.0,96.4,Cu_porphyry,261.0
Cu,44.0,138.0,96.4,Cu_VMS,239.0
Cu,-6.0,158.0,96.4,Cu_porphyry,237.0
Cu,16.0,118.0,96.3,Cu_VMS,209.0
ZnPb,40.0,-126.0,99.3,ZnPb_SEDEX,797.0
ZnPb,30.0,-116.0,99.2,ZnPb_SEDEX,533.0
ZnPb,40.0,12.0,99.2,ZnPb_SEDEX,241.0
ZnPb,52.0,-130.0,99.1,ZnPb_SEDEX,222.0
ZnPb,48.0,-128.0,99.0,ZnPb_SEDEX,274.0
ZnPb,18.0,-106.0,99.0,ZnPb_SEDEX,594.0
ZnPb,28.0,-116.0,98.8,ZnPb_SEDEX,642.0
ZnPb,46.0,-126.0,98.7,ZnPb_SEDEX,489.0
ZnPb,52.0,-124.0,98.6,ZnPb_SEDEX,269.0
ZnPb,38.0,14.0,98.5,ZnPb_SEDEX,441.0
ZnPb,52.0,-122.0,98.4,ZnPb_SEDEX,201.0
ZnPb,36.0,14.0,98.3,ZnPb_SEDEX,442.0
ZnPb,36.0,-124.0,98.2,ZnPb_SEDEX,561.0
ZnPb,16.0,-104.0,98.1,ZnPb_SEDEX,548.0
ZnPb,42.0,-128.0,97.9,ZnPb_SEDEX,933.0
ZnPb,38.0,-126.0,97.8,ZnPb_SEDEX,736.0
ZnPb,44.0,8.0,97.8,ZnPb_SEDEX,231.0
ZnPb,40.0,14.0,97.8,ZnPb_SEDEX,411.0
